Instance name, X location, Y location, Voltage
_301_, 101.3, 27.2, 0.000354169
_370_, 101.3, 27.2, 0.000354169
_371_, 101.3, 27.2, 0.000354169
_175_, 113.993, 27.2, 0.000378422
_238_, 113.993, 27.2, 0.000378422
_239_, 113.993, 27.2, 0.000378422
_277_, 113.993, 27.2, 0.000378422
_361_, 113.993, 27.2, 0.000378422
_362_, 113.993, 27.2, 0.000378422
_363_, 113.993, 27.2, 0.000378422
_364_, 113.993, 27.2, 0.000378422
_415_, 113.993, 27.2, 0.000378422
fanout108, 113.993, 27.2, 0.000378422
_315_, 126.686, 27.2, 0.000381001
_316_, 126.686, 27.2, 0.000381001
output55, 126.686, 27.2, 0.000381001
output79, 126.686, 27.2, 0.000381001
ANTENNA_3, 126.686, 27.2, 0.000381001
_419_, 5.52, 21.76, 0.000109279
PHY_EDGE_ROW_3_Left_13, 5.52, 21.76, 0.000109279
PHY_EDGE_ROW_4_Left_14, 5.52, 21.76, 0.000109279
output62, 5.52, 21.76, 0.000109279
output64, 5.52, 21.76, 0.000109279
output85, 5.52, 21.76, 0.000109279
PHY_EDGE_ROW_3_Right_3, 139.38, 21.76, 0.000741891
PHY_EDGE_ROW_4_Right_4, 139.38, 21.76, 0.000741891
output51, 139.38, 21.76, 0.000741891
output83, 139.38, 21.76, 0.000741891
ANTENNA_1, 139.38, 21.76, 0.000741891
FILLER_0_3_285, 139.38, 21.76, 0.000741891
_241_, 15.33, 21.76, 0.000105966
_379_, 15.33, 21.76, 0.000105966
output91, 15.33, 21.76, 0.000105966
_244_, 37.833, 21.76, 0.000195209
_245_, 37.833, 21.76, 0.000195209
_247_, 37.833, 21.76, 0.000195209
_250_, 37.833, 21.76, 0.000195209
_251_, 37.833, 21.76, 0.000195209
_283_, 37.833, 21.76, 0.000195209
_411_, 37.833, 21.76, 0.000195209
FILLER_0_3_70, 37.833, 21.76, 0.000195209
FILLER_0_4_70, 37.833, 21.76, 0.000195209
_185_, 50.526, 21.76, 0.000287451
_219_, 50.526, 21.76, 0.000287451
_220_, 50.526, 21.76, 0.000287451
_224_, 50.526, 21.76, 0.000287451
_249_, 50.526, 21.76, 0.000287451
_252_, 50.526, 21.76, 0.000287451
_257_, 50.526, 21.76, 0.000287451
_407_, 50.526, 21.76, 0.000287451
FILLER_0_3_95, 50.526, 21.76, 0.000287451
_222_, 63.22, 21.76, 0.000376499
_223_, 63.22, 21.76, 0.000376499
_256_, 63.22, 21.76, 0.000376499
_261_, 63.22, 21.76, 0.000376499
_262_, 63.22, 21.76, 0.000376499
_264_, 63.22, 21.76, 0.000376499
_327_, 63.22, 21.76, 0.000376499
_353_, 63.22, 21.76, 0.000376499
fanout101, 63.22, 21.76, 0.000376499
fanout103, 63.22, 21.76, 0.000376499
FILLER_0_3_118, 63.22, 21.76, 0.000376499
FILLER_0_4_128, 63.22, 21.76, 0.000376499
_182_, 75.913, 21.76, 0.000463321
_260_, 75.913, 21.76, 0.000463321
_263_, 75.913, 21.76, 0.000463321
_265_, 75.913, 21.76, 0.000463321
_270_, 75.913, 21.76, 0.000463321
_296_, 75.913, 21.76, 0.000463321
_393_, 75.913, 21.76, 0.000463321
_395_, 75.913, 21.76, 0.000463321
fanout96, 75.913, 21.76, 0.000463321
FILLER_0_4_151, 75.913, 21.76, 0.000463321
FILLER_0_5_162, 75.913, 21.76, 0.000463321
_184_, 88.606, 21.76, 0.000545934
_229_, 88.606, 21.76, 0.000545934
_230_, 88.606, 21.76, 0.000545934
_268_, 88.606, 21.76, 0.000545934
_298_, 88.606, 21.76, 0.000545934
_374_, 88.606, 21.76, 0.000545934
_418_, 88.606, 21.76, 0.000545934
max_cap97, 88.606, 21.76, 0.000545934
FILLER_0_4_187, 88.606, 21.76, 0.000545934
FILLER_0_5_181, 88.606, 21.76, 0.000545934
_176_, 101.3, 21.76, 0.000626196
_186_, 101.3, 21.76, 0.000626196
_187_, 101.3, 21.76, 0.000626196
_234_, 101.3, 21.76, 0.000626196
_237_, 101.3, 21.76, 0.000626196
_273_, 101.3, 21.76, 0.000626196
_274_, 101.3, 21.76, 0.000626196
_278_, 101.3, 21.76, 0.000626196
_280_, 101.3, 21.76, 0.000626196
_369_, 101.3, 21.76, 0.000626196
_372_, 101.3, 21.76, 0.000626196
_212_, 113.993, 21.76, 0.00069761
_279_, 113.993, 21.76, 0.00069761
_340_, 113.993, 21.76, 0.00069761
_368_, 113.993, 21.76, 0.00069761
_432_, 113.993, 21.76, 0.00069761
fanout98, 113.993, 21.76, 0.00069761
fanout104, 113.993, 21.76, 0.00069761
fanout105, 113.993, 21.76, 0.00069761
_314_, 126.686, 21.76, 0.000738
_350_, 126.686, 21.76, 0.000738
_433_, 126.686, 21.76, 0.000738
output74, 126.686, 21.76, 0.000738
output75, 126.686, 21.76, 0.000738
output76, 126.686, 21.76, 0.000738
output77, 126.686, 21.76, 0.000738
PHY_EDGE_ROW_1_Left_11, 5.52, 16.32, 0.000123
PHY_EDGE_ROW_2_Left_12, 5.52, 16.32, 0.000123
output90, 5.52, 16.32, 0.000123
output92, 5.52, 16.32, 0.000123
output93, 5.52, 16.32, 0.000123
output94, 5.52, 16.32, 0.000123
PHY_EDGE_ROW_1_Right_1, 139.38, 16.32, 0.000510394
PHY_EDGE_ROW_2_Right_2, 139.38, 16.32, 0.000510394
input9, 139.38, 16.32, 0.000510394
output78, 139.38, 16.32, 0.000510394
output80, 139.38, 16.32, 0.000510394
output82, 139.38, 16.32, 0.000510394
ANTENNA_5, 139.38, 16.32, 0.000510394
_376_, 15.33, 16.32, 0.000115018
_378_, 15.33, 16.32, 0.000115018
_383_, 15.33, 16.32, 0.000115018
input3, 15.33, 16.32, 0.000115018
output88, 15.33, 16.32, 0.000115018
output89, 15.33, 16.32, 0.000115018
_174_, 37.833, 16.32, 0.000168022
_215_, 37.833, 16.32, 0.000168022
_216_, 37.833, 16.32, 0.000168022
_246_, 37.833, 16.32, 0.000168022
_285_, 37.833, 16.32, 0.000168022
_286_, 37.833, 16.32, 0.000168022
_414_, 37.833, 16.32, 0.000168022
input2, 37.833, 16.32, 0.000168022
_183_, 50.526, 16.32, 0.000229462
_221_, 50.526, 16.32, 0.000229462
_258_, 50.526, 16.32, 0.000229462
_259_, 50.526, 16.32, 0.000229462
_357_, 50.526, 16.32, 0.000229462
_358_, 50.526, 16.32, 0.000229462
_426_, 50.526, 16.32, 0.000229462
FILLER_0_2_91, 50.526, 16.32, 0.000229462
_179_, 63.22, 16.32, 0.000288306
_328_, 63.22, 16.32, 0.000288306
_341_, 63.22, 16.32, 0.000288306
_342_, 63.22, 16.32, 0.000288306
_343_, 63.22, 16.32, 0.000288306
_344_, 63.22, 16.32, 0.000288306
_380_, 63.22, 16.32, 0.000288306
FILLER_0_1_120, 63.22, 16.32, 0.000288306
_177_, 75.913, 16.32, 0.000347145
_226_, 75.913, 16.32, 0.000347145
_227_, 75.913, 16.32, 0.000347145
